plot,trt,trt2,spp,anpp
N0-1,N0,N0,Anemone?rivularis,4
N0-1,N0,N0,Potentilla?anserina,1.12
N0-1,N0,N0,Deschampsia?caespitosa,112.72
N0-1,N0,N0,Oxytropis?kansuensis,8.84
N0-1,N0,N0,Aster?alpinus,0.0968
N0-1,N0,N0,Carum?carvi,8.64
N0-1,N0,N0,Festuca?rubra,7.92
N0-1,N0,N0,Gentiana sino-ornata,0.88
N0-1,N0,N0,Ligularia?virgaurea,178.08
N0-1,N0,N0,Artemisia?roxburghiana,8.28
N0-1,N0,N0,Leontopodium leontopodioides,1.2904
N0-1,N0,N0,Halenia?elliptica,0.92
N0-1,N0,N0,Taraxacum?mongolicum,6.32
N0-1,N0,N0,Euphorbia?esula?,2.72
N0-1,N0,N0,Gentianopsis?paludosa,0.2988
N0-1,N0,N0,Carex?limosa,41.32
N0-1,N0,N0,Cremanthodium?lineare,7.76
N0-1,N0,N0,Vicia?sepium,6.72
N0-1,N0,N0,Trollius?chinensis,0.32
N0-2,N0,N0,Anemone?rivularis,14.84
N0-2,N0,N0,Potentilla?anserina,3.8152
N0-2,N0,N0,Deschampsia?caespitosa,90.16
N0-2,N0,N0,Oxytropis?kansuensis,2.36
N0-2,N0,N0,Ranunculus?japonicus,1.7784
N0-2,N0,N0,Artemisia?roxburghiana,4.56
N0-2,N0,N0,Leontopodium leontopodioides,3.0644
N0-2,N0,N0,Agrostis matsumurae,17.88
N0-2,N0,N0,Commelina diffusa,0.604
N0-2,N0,N0,Geranium pratense,1.4704
N0-2,N0,N0,Geum?aleppicum,1.04
N0-2,N0,N0,Halenia?elliptica,21.6
N0-2,N0,N0,Potentilla?fragarioides,1
N0-2,N0,N0,Taraxacum?mongolicum,0.5392
N0-2,N0,N0,Lancea?tibetica,0.7504
N0-2,N0,N0,Euphorbia?esula?,4.956
N0-2,N0,N0,Koeleria cristata,26.56
N0-2,N0,N0,Carex?limosa,25.88
N0-2,N0,N0,Cremanthodium?lineare,12.598
N0-2,N0,N0,Euphrasia?pectinata,0.4456
N0-2,N0,N0,Saussurea?stella,7.6
N0-2,N0,N0,Polygonum?viviparum,37.32
N0-3,N0,N0,Anemone?rivularis,29.52
N0-3,N0,N0,Potentilla?anserina,3.08
N0-3,N0,N0,Deschampsia?caespitosa,69.16
N0-3,N0,N0,Oxytropis?kansuensis,19.68
N0-3,N0,N0,Aster?alpinus,0.176
N0-3,N0,N0,Carum?carvi,9.16
N0-3,N0,N0,Gentiana sino-ornata,12.24
N0-3,N0,N0,Artemisia?roxburghiana,0.1624
N0-3,N0,N0,Leontopodium leontopodioides,0.3516
N0-3,N0,N0,Agrostis matsumurae,6.16
N0-3,N0,N0,Geranium pratense,0.1004
N0-3,N0,N0,Halenia?elliptica,0.3708
N0-3,N0,N0,Pedicularis?spicata,0.1036
N0-3,N0,N0,Potentilla?fragarioides,14.56
N0-3,N0,N0,Lancea?tibetica,0.732
N0-3,N0,N0,Euphorbia?esula?,39.12
N0-3,N0,N0,Kobresia?myosuroides,28.48
N0-3,N0,N0,Koeleria cristata,6.56
N0-3,N0,N0,Carex?limosa,39.8
N0-3,N0,N0,Cremanthodium?lineare,6.08
N0-3,N0,N0,Vicia?sepium,5.8
N0-3,N0,N0,Euphrasia?pectinata,0.5476
N0-3,N0,N0,Polygonum?viviparum,114.96
N0-3,N0,N0,Cerastium?arvense,0.104
N0-3,N0,N0,Trollius?chinensis,0.1612
N0-4,N0,N0,Anemone?rivularis,23.2
N0-4,N0,N0,Potentilla?anserina,1.3272
N0-4,N0,N0,Deschampsia?caespitosa,108.36
N0-4,N0,N0,Oxytropis?kansuensis,13.32
N0-4,N0,N0,Aster?alpinus,0.2596
N0-4,N0,N0,Carum?carvi,1.1728
N0-4,N0,N0,Leontopodium leontopodioides,0.2
N0-4,N0,N0,Geranium pratense,16.4
N0-4,N0,N0,Artemisia?frigida,6.24
N0-4,N0,N0,Halenia?elliptica,3.76
N0-4,N0,N0,Pedicularis?spicata,9.72
N0-4,N0,N0,Potentilla?fragarioides,2.72
