plot,trt,trt2,spp,anpp
N0-1,N0,N0,Anemone?rivularis,8.12
N0-1,N0,N0,Elymus?nutans,8.12
N0-1,N0,N0,Potentilla?anserina,9.52
N0-1,N0,N0,Deschampsia?caespitosa,45.96
N0-1,N0,N0,Oxytropis?kansuensis,16.8
N0-1,N0,N0,Ranunculus?japonicus,0.3236
N0-1,N0,N0,Aster?alpinus,9.8
N0-1,N0,N0,Carum?carvi,20.12
N0-1,N0,N0,Gentiana sino-ornata,2.88
N0-1,N0,N0,Ligularia?virgaurea,69.2
N0-1,N0,N0,Artemisia?roxburghiana,6.32
N0-1,N0,N0,Leontopodium leontopodioides,3.68
N0-1,N0,N0,Geum?aleppicum,2.6524
N0-1,N0,N0,Halenia?elliptica,0.3804
N0-1,N0,N0,Taraxacum?mongolicum,8.24
N0-1,N0,N0,Lancea?tibetica,0.0148
N0-1,N0,N0,Euphorbia?esula?,5.8
N0-1,N0,N0,Koeleria cristata,1.12
N0-1,N0,N0,Carex?limosa,28.12
N0-1,N0,N0,Cremanthodium?lineare,27.08
N0-1,N0,N0,Vicia?sepium,2.7416
N0-1,N0,N0,Euphrasia?pectinata,0.92
N0-1,N0,N0,Saussurea?stella,66
N0-1,N0,N0,Anemone?trullifolia,0.0832
N0-2,N0,N0,Anemone?rivularis,0.7604
N0-2,N0,N0,Elymus?nutans,16.32
N0-2,N0,N0,Potentilla?anserina,26.4
N0-2,N0,N0,Deschampsia?caespitosa,62.48
N0-2,N0,N0,Oxytropis?kansuensis,3.64
N0-2,N0,N0,Ranunculus?japonicus,0.1732
N0-2,N0,N0,Carum?carvi,0.0996
N0-2,N0,N0,Gentiana sino-ornata,0.0736
N0-2,N0,N0,Artemisia?roxburghiana,20.36
N0-2,N0,N0,Commelina diffusa,0.084
N0-2,N0,N0,Geum?aleppicum,0.4668
N0-2,N0,N0,Potentilla?fragarioides,0.95
N0-2,N0,N0,Euphorbia?esula?,1.2992
N0-2,N0,N0,Kobresia?myosuroides,3.12
N0-2,N0,N0,Koeleria cristata,6.84
N0-2,N0,N0,Carex?limosa,42.36
N0-2,N0,N0,Cremanthodium?lineare,16.4
